,Level-1-text,Module-text,Sub-Process-text,Level 1 Process,Module,Sub Process,Num_words_Level-1-text,Num_words_Module-text,Num_words_Sub-Process-text,Level 1 Process-Code,Module-Code,Sub Process-Code
1269,r2r r2r-730-parent vendor master to heritage system – from sap start-of-selection,vendorinvoicing&ap r2r r2r-730-parent vendor master to heritage system – from sap start-of-selection,ap vendorinvoicing&ap r2r r2r-730-parent vendor master to heritage system – from sap start-of-selection,vendorinvoicing&ap,ap,vendormaintenance,11,12,13,15,1,39
1270,r2r display duplicate receipts & zfap_duplicate_receipts &--------------------------------------------------------------------- & this program will display duplicate receipts based on selection & criteria. this information can be used further to delete duplicate & receipts from the system manually using rpttuw02 & & to be executed in background for better performance &--------------------------------------------------------------------- ----------------------------------------------------------------------,vendorinvoicing&ap r2r display duplicate receipts & zfap_duplicate_receipts &--------------------------------------------------------------------- & this program will display duplicate receipts based on selection & criteria. this information can be used further to delete duplicate & receipts from the system manually using rpttuw02 & & to be executed in background for better performance &--------------------------------------------------------------------- ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r display duplicate receipts & zfap_duplicate_receipts &--------------------------------------------------------------------- & this program will display duplicate receipts based on selection & criteria. this information can be used further to delete duplicate & receipts from the system manually using rpttuw02 & & to be executed in background for better performance &--------------------------------------------------------------------- ----------------------------------------------------------------------,vendorinvoicing&ap,ap,inventoryaccounting,48,49,50,15,1,19
1271,r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,fixedasset&projectaccounting r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,ps fixedasset&projectaccounting r2r control report for interface 755 & : capital accounting also requires a control report to determine what information should have been sent to sap from interface 755. this report will be used for audit s ----------------------------------------------------------------------,fixedasset&projectaccounting,ps,capitalprojectaccounting,37,38,39,4,33,7
1272,r2r intercompany transfer : this program is to tag a sales order line with multiple settlement company code which will then drive an intercompany journal entry out of the invoicing company and into the respective settlement company codes. -----------------------------------------------------------------,customerinvoicing&ar(mbil) r2r intercompany transfer : this program is to tag a sales order line with multiple settlement company code which will then drive an intercompany journal entry out of the invoicing company and into the respective settlement company codes. -----------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r intercompany transfer : this program is to tag a sales order line with multiple settlement company code which will then drive an intercompany journal entry out of the invoicing company and into the respective settlement company codes. -----------------------------------------------------------------,customerinvoicing&ar(mbil),ar,customermaintenance&managecredit,39,40,41,3,6,11
1273,r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,customerinvoicing&ar(mbil) r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,sd customerinvoicing&ar(mbil) r2r interface to send invoice balance to third party system bpa & zfar_i_invoice_balance & &--------------------------------------------------------------------- title : interface to send invoice balance information,customerinvoicing&ar(mbil),sd,reporting,23,24,25,3,41,33
1274,r2r suntrust lock box main program purpose: the purpose of this program is to call the customised lockbox program zrfeblb00 and this program will work for both citi and suntrust bank through following tcode 1.zcitiflb2 citibank-ns & conrail a/r lockbox 2.zfarflb2 suntrust-ns & conrail a/r lockbox,customerinvoicing&ar(mbil) r2r suntrust lock box main program purpose: the purpose of this program is to call the customised lockbox program zrfeblb00 and this program will work for both citi and suntrust bank through following tcode 1.zcitiflb2 citibank-ns & conrail a/r lockbox 2.zfarflb2 suntrust-ns & conrail a/r lockbox,ar customerinvoicing&ar(mbil) r2r suntrust lock box main program purpose: the purpose of this program is to call the customised lockbox program zrfeblb00 and this program will work for both citi and suntrust bank through following tcode 1.zcitiflb2 citibank-ns & conrail a/r lockbox 2.zfarflb2 suntrust-ns & conrail a/r lockbox,customerinvoicing&ar(mbil),ar,receivables&incomingpayments,46,47,48,3,6,32
1275,r2r testing & report zmkorr01 &,generalaccountingconsolidation&reporting r2r testing & report zmkorr01 &,fi generalaccountingconsolidation&reporting r2r testing & report zmkorr01 &,generalaccountingconsolidation&reporting,fi,generalaccounting,6,7,8,6,16,14
1276,r2r switch on open item management by changing master record this is not a standard . it is only included for convenience in case it will be needed. only use it after consulting with sap. ----------------------------------------------------------------------,generalaccountingconsolidation&reporting r2r switch on open item management by changing master record this is not a standard . it is only included for convenience in case it will be needed. only use it after consulting with sap. ----------------------------------------------------------------------,fi generalaccountingconsolidation&reporting r2r switch on open item management by changing master record this is not a standard . it is only included for convenience in case it will be needed. only use it after consulting with sap. ----------------------------------------------------------------------,generalaccountingconsolidation&reporting,fi,generalaccounting,36,37,38,6,16,14
1277,r2r maintain escalation rates : to create a new escalation code which is three characters ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r maintain escalation rates : to create a new escalation code which is three characters ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r maintain escalation rates : to create a new escalation code which is three characters ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,16,17,18,3,41,10
1278,r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r rpms ar payment data to sap zfari_rpms_ar_payment_data r2r - rpms - ar payment data -fromsap provide rpms with a file to deliver payroll data ----------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,customerinvoicing,26,27,28,3,6,10
1279,r2r ff.5 bank statement upload purpose: this interface is required to provide medical plan enrollment and employee demographic data to anthem.,treasuryoperations r2r ff.5 bank statement upload purpose: this interface is required to provide medical plan enrollment and employee demographic data to anthem.,tr treasuryoperations r2r ff.5 bank statement upload purpose: this interface is required to provide medical plan enrollment and employee demographic data to anthem.,treasuryoperations,tr,bankmanagement,21,22,23,13,44,5
1280,r2r send damage project costs to tsar purpose: to build an outbound file which has damage project costs that has to be sent to tsar,fixedasset&projectaccounting r2r send damage project costs to tsar purpose: to build an outbound file which has damage project costs that has to be sent to tsar,ps fixedasset&projectaccounting r2r send damage project costs to tsar purpose: to build an outbound file which has damage project costs that has to be sent to tsar,fixedasset&projectaccounting,ps,capitalprojectaccounting,25,26,27,4,33,7
1281,r2r is0755 - sap to powerplant & zfpsi_755_saptopowerplant2 ----------------------------------------------------------------------- program name : zfpsi_755_saptopowerplant2 title : r2r-ps - is0755 - sap to powerplant create date : 02/13/2012 release : ecc 6.0,fixedasset&projectaccounting r2r is0755 - sap to powerplant & zfpsi_755_saptopowerplant2 ----------------------------------------------------------------------- program name : zfpsi_755_saptopowerplant2 title : r2r-ps - is0755 - sap to powerplant create date : 02/13/2012 release : ecc 6.0,ps fixedasset&projectaccounting r2r is0755 - sap to powerplant & zfpsi_755_saptopowerplant2 ----------------------------------------------------------------------- program name : zfpsi_755_saptopowerplant2 title : r2r-ps - is0755 - sap to powerplant create date : 02/13/2012 release : ecc 6.0,fixedasset&projectaccounting,ps,capitalprojectaccounting,30,31,32,4,33,7
1282,r2r delete old parkd documents : this program is used to delete old parked fi documents ----------------------------------------------------------------,generalaccountingconsolidation&reporting r2r delete old parkd documents : this program is used to delete old parked fi documents ----------------------------------------------------------------,fi generalaccountingconsolidation&reporting r2r delete old parkd documents : this program is used to delete old parked fi documents ----------------------------------------------------------------,generalaccountingconsolidation&reporting,fi,generalaccounting,17,18,19,6,16,14
1283,r2r billing plan report : to display and modify the billing plan details ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r billing plan report : to display and modify the billing plan details ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r billing plan report : to display and modify the billing plan details ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,14,15,16,3,41,10
1284,"r2r customer activity report & : & the report should retrieve the list of invoices generated against & the customer or project selected along with any additional details & such as the project number, sales order type or customer & classification data. for each of these invoices, the report should & then retrieve the history of the activity against that invoice. & i.e. whether there have been payments, cancellations of write-offs. &--------------------------------------------------------------------- ---------------------------------------------------------------------- change history ----------------------------------------------------------------------","customerinvoicing&ar(mbil) r2r customer activity report & : & the report should retrieve the list of invoices generated against & the customer or project selected along with any additional details & such as the project number, sales order type or customer & classification data. for each of these invoices, the report should & then retrieve the history of the activity against that invoice. & i.e. whether there have been payments, cancellations of write-offs. &--------------------------------------------------------------------- ---------------------------------------------------------------------- change history ----------------------------------------------------------------------","sd customerinvoicing&ar(mbil) r2r customer activity report & : & the report should retrieve the list of invoices generated against & the customer or project selected along with any additional details & such as the project number, sales order type or customer & classification data. for each of these invoices, the report should & then retrieve the history of the activity against that invoice. & i.e. whether there have been payments, cancellations of write-offs. &--------------------------------------------------------------------- ---------------------------------------------------------------------- change history ----------------------------------------------------------------------",customerinvoicing&ar(mbil),sd,customerinvoicing,76,77,78,3,41,10
1285,r2r analysis status object with multiple sequence numbers & zstseqnr & &--------------------------------------------------------------------- & status management : analyse status objects with multiple sequence & numbers and allow manual repair (delete status) & &---------------------------------------------------------------------,generalaccountingconsolidation&reporting r2r analysis status object with multiple sequence numbers & zstseqnr & &--------------------------------------------------------------------- & status management : analyse status objects with multiple sequence & numbers and allow manual repair (delete status) & &---------------------------------------------------------------------,fi generalaccountingconsolidation&reporting r2r analysis status object with multiple sequence numbers & zstseqnr & &--------------------------------------------------------------------- & status management : analyse status objects with multiple sequence & numbers and allow manual repair (delete status) & &---------------------------------------------------------------------,generalaccountingconsolidation&reporting,fi,generalaccounting,32,33,34,6,16,14
1286,"r2r dms 299: customer hierarchy : this program loads customer hierarchy nodes. ----------------------------------------------------------------- technical consultant: pedro acevedo, christian aviles date: 16 march 2011 ----------------------------------------------------------------- revision history: ------------ ------ -------------------------------------------- date/version user comments ------------ ------ -------------------------------------------- 16 mar 2011 qbfpd 1. initial program. -----------------------------------------------------------------","customerinvoicing&ar(mbil) r2r dms 299: customer hierarchy : this program loads customer hierarchy nodes. ----------------------------------------------------------------- technical consultant: pedro acevedo, christian aviles date: 16 march 2011 ----------------------------------------------------------------- revision history: ------------ ------ -------------------------------------------- date/version user comments ------------ ------ -------------------------------------------- 16 mar 2011 qbfpd 1. initial program. -----------------------------------------------------------------","sd customerinvoicing&ar(mbil) r2r dms 299: customer hierarchy : this program loads customer hierarchy nodes. ----------------------------------------------------------------- technical consultant: pedro acevedo, christian aviles date: 16 march 2011 ----------------------------------------------------------------- revision history: ------------ ------ -------------------------------------------- date/version user comments ------------ ------ -------------------------------------------- 16 mar 2011 qbfpd 1. initial program. -----------------------------------------------------------------",customerinvoicing&ar(mbil),sd,customerinvoicing,43,44,45,3,41,10
1287,r2r delete parked documents in fi : delete fi parked documents in sap ----------------------------------------------------------------------,generalaccountingconsolidation&reporting r2r delete parked documents in fi : delete fi parked documents in sap ----------------------------------------------------------------------,fi generalaccountingconsolidation&reporting r2r delete parked documents in fi : delete fi parked documents in sap ----------------------------------------------------------------------,generalaccountingconsolidation&reporting,fi,generalaccounting,14,15,16,6,16,14
1288,"r2r is170 - car repair bill charges - idoc rpeort zfari_170_carrepair_charges the is used to generate the for is170 - car repair bill charges. as this interface is designed to use idoc, in order to send out an error , we need to schedule this program to run daily. this program will retrieve the error and successful idoc posting based on the selection ----------------------------------------------------------------------","customerinvoicing&ar(mbil) r2r is170 - car repair bill charges - idoc rpeort zfari_170_carrepair_charges the is used to generate the for is170 - car repair bill charges. as this interface is designed to use idoc, in order to send out an error , we need to schedule this program to run daily. this program will retrieve the error and successful idoc posting based on the selection ----------------------------------------------------------------------","ar customerinvoicing&ar(mbil) r2r is170 - car repair bill charges - idoc rpeort zfari_170_carrepair_charges the is used to generate the for is170 - car repair bill charges. as this interface is designed to use idoc, in order to send out an error , we need to schedule this program to run daily. this program will retrieve the error and successful idoc posting based on the selection ----------------------------------------------------------------------",customerinvoicing&ar(mbil),ar,customerinvoicing,64,65,66,3,6,10
1289,r2r update zftx_tax table in background & send email notification & report zr2r_ftx_tbl_upd_in_bg,generalaccountingconsolidation&reporting r2r update zftx_tax table in background & send email notification & report zr2r_ftx_tbl_upd_in_bg,gl generalaccountingconsolidation&reporting r2r update zftx_tax table in background & send email notification & report zr2r_ftx_tbl_upd_in_bg,generalaccountingconsolidation&reporting,gl,internalauditcompliance,13,14,15,6,17,18
1290,r2r nan purpose: this program creates a cross reference between legacy and sap customers/vendors. the entries will be created in table zcust_vend_xref. alternatively the table can also be maintained manually using transaction zcv_xref the cross reference would be between the sap customer/ vendor number and the unconsolidated legacy customer/ vendor number,vendorinvoicing&ap r2r nan purpose: this program creates a cross reference between legacy and sap customers/vendors. the entries will be created in table zcust_vend_xref. alternatively the table can also be maintained manually using transaction zcv_xref the cross reference would be between the sap customer/ vendor number and the unconsolidated legacy customer/ vendor number,ap vendorinvoicing&ap r2r nan purpose: this program creates a cross reference between legacy and sap customers/vendors. the entries will be created in table zcust_vend_xref. alternatively the table can also be maintained manually using transaction zcv_xref the cross reference would be between the sap customer/ vendor number and the unconsolidated legacy customer/ vendor number,vendorinvoicing&ap,ap,vendormaintenance,51,52,53,15,1,39
1291,r2r ps approval report & report zps_approval_report &,fixedasset&projectaccounting r2r ps approval report & report zps_approval_report &,ps fixedasset&projectaccounting r2r ps approval report & report zps_approval_report &,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,8,9,10,4,33,30
1292,r2r report to count number of vendor for form to be counted : this report will give count to user for number of forms printed for 1099 misc and 1099 int and if any diffrence between count. -----------------------------------------------------------------,vendorinvoicing&ap r2r report to count number of vendor for form to be counted : this report will give count to user for number of forms printed for 1099 misc and 1099 int and if any diffrence between count. -----------------------------------------------------------------,ap vendorinvoicing&ap r2r report to count number of vendor for form to be counted : this report will give count to user for number of forms printed for 1099 misc and 1099 int and if any diffrence between count. -----------------------------------------------------------------,vendorinvoicing&ap,ap,vendormaintenance,38,39,40,15,1,39
1293,r2r report for invoices unblocked without gr : explain the of the code in around 100 words. ----------------------------------------------------------------------,vendorinvoicing&ap r2r report for invoices unblocked without gr : explain the of the code in around 100 words. ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r report for invoices unblocked without gr : explain the of the code in around 100 words. ----------------------------------------------------------------------,vendorinvoicing&ap,ap,reporting,18,19,20,15,1,33
1294,r2r correction program: delete co document & zkacor21 & &--------------------------------------------------------------------- & & &---------------------------------------------------------------------,managementcostaccounting r2r correction program: delete co document & zkacor21 & &--------------------------------------------------------------------- & & &---------------------------------------------------------------------,co managementcostaccounting r2r correction program: delete co document & zkacor21 & &--------------------------------------------------------------------- & & &---------------------------------------------------------------------,managementcostaccounting,co,costaccounting&control,13,14,15,8,10,8
1295,r2r stock in transit report & zimwm_stock_in_transit_ &--------------------------------------------------------------------- & &--------------------------------------------------------------------- this displays list of material which are in stock in transit ----------------------------------------------------------------------,vendorinvoicing&ap r2r stock in transit report & zimwm_stock_in_transit_ &--------------------------------------------------------------------- & &--------------------------------------------------------------------- this displays list of material which are in stock in transit ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r stock in transit report & zimwm_stock_in_transit_ &--------------------------------------------------------------------- & &--------------------------------------------------------------------- this displays list of material which are in stock in transit ----------------------------------------------------------------------,vendorinvoicing&ap,ap,inventoryaccounting,22,23,24,15,1,19
1296,r2r delete the po invoice idoc for diesel & report zmpr_delete_diesel_po_invoice &,vendorinvoicing&ap r2r delete the po invoice idoc for diesel & report zmpr_delete_diesel_po_invoice &,ap vendorinvoicing&ap r2r delete the po invoice idoc for diesel & report zmpr_delete_diesel_po_invoice &,vendorinvoicing&ap,ap,vendorinvoicing,12,13,14,15,1,38
1297,r2r nan : functional area substitution from accounting document -----------------------------------------------------------------,generalaccountingconsolidation&reporting r2r nan : functional area substitution from accounting document -----------------------------------------------------------------,gl generalaccountingconsolidation&reporting r2r nan : functional area substitution from accounting document -----------------------------------------------------------------,generalaccountingconsolidation&reporting,gl,generalaccounting,10,11,12,6,17,14
1298,"r2r apc deck - 03 nec (natural expense codes) zfgli_apc_deck03_nec r2r - apc deck - 03 nec (natural expense codes) - fromsap interface must scan operating expense accounts, interest expense accounts, other income accounts, and other expense accounts by range, parse out characters 3 - 5, and build a list of unique occurrences. ----------------------------------------------------------------------","generalaccountingconsolidation&reporting r2r apc deck - 03 nec (natural expense codes) zfgli_apc_deck03_nec r2r - apc deck - 03 nec (natural expense codes) - fromsap interface must scan operating expense accounts, interest expense accounts, other income accounts, and other expense accounts by range, parse out characters 3 - 5, and build a list of unique occurrences. ----------------------------------------------------------------------","gl generalaccountingconsolidation&reporting r2r apc deck - 03 nec (natural expense codes) zfgli_apc_deck03_nec r2r - apc deck - 03 nec (natural expense codes) - fromsap interface must scan operating expense accounts, interest expense accounts, other income accounts, and other expense accounts by range, parse out characters 3 - 5, and build a list of unique occurrences. ----------------------------------------------------------------------",generalaccountingconsolidation&reporting,gl,generalaccounting,54,55,56,6,17,14
1299,r2r nan & zfari_rpms_ar_cust_data r2r-ar rpms - ar customer data - fromsap displays information for active customers found on table kna1 ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r nan & zfari_rpms_ar_cust_data r2r-ar rpms - ar customer data - fromsap displays information for active customers found on table kna1 ----------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r nan & zfari_rpms_ar_cust_data r2r-ar rpms - ar customer data - fromsap displays information for active customers found on table kna1 ----------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,reporting,22,23,24,3,6,33
1300,r2r customisation of main lockbox program rfeblb00 shows the result in form of hierachical so used the fm 'reuse_alv_hierseq_list_display' for line display --------------------------------------------------------------------- change history of alv development after walldorf review & suggestions program description: sales documents with periodic billing: update dates,customerinvoicing&ar(mbil) r2r customisation of main lockbox program rfeblb00 shows the result in form of hierachical so used the fm 'reuse_alv_hierseq_list_display' for line display --------------------------------------------------------------------- change history of alv development after walldorf review & suggestions program description: sales documents with periodic billing: update dates,ar customerinvoicing&ar(mbil) r2r customisation of main lockbox program rfeblb00 shows the result in form of hierachical so used the fm 'reuse_alv_hierseq_list_display' for line display --------------------------------------------------------------------- change history of alv development after walldorf review & suggestions program description: sales documents with periodic billing: update dates,customerinvoicing&ar(mbil),ar,reporting,42,43,44,3,6,33
1301,r2r program to send agreement increase info to rpms & zfar_rpms_ar_agreementicrease & this program will send agreement increase info to rpms ------------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r program to send agreement increase info to rpms & zfar_rpms_ar_agreementicrease & this program will send agreement increase info to rpms ------------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r program to send agreement increase info to rpms & zfar_rpms_ar_agreementicrease & this program will send agreement increase info to rpms ------------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,customerinvoicing,22,23,24,3,6,10
1302,r2r program zfgl_pp_to_gl_recon & zfgl_pp_to_gl_recon program to execute in background to: reconcile balance sheet account balances between powerplant and sap general ledger ----------------------------------------------------------------------,fixedasset&projectaccounting r2r program zfgl_pp_to_gl_recon & zfgl_pp_to_gl_recon program to execute in background to: reconcile balance sheet account balances between powerplant and sap general ledger ----------------------------------------------------------------------,gl fixedasset&projectaccounting r2r program zfgl_pp_to_gl_recon & zfgl_pp_to_gl_recon program to execute in background to: reconcile balance sheet account balances between powerplant and sap general ledger ----------------------------------------------------------------------,fixedasset&projectaccounting,gl,generalaccounting,23,24,25,4,17,14
1303,r2r zverify292 - utility program to find missing load records nan,generalaccountingconsolidation&reporting r2r zverify292 - utility program to find missing load records nan,fi generalaccountingconsolidation&reporting r2r zverify292 - utility program to find missing load records nan,generalaccountingconsolidation&reporting,fi,generalaccounting,11,12,13,6,16,14
1304,r2r correction program: reverse co document in different period nan,managementcostaccounting r2r correction program: reverse co document in different period nan,co managementcostaccounting r2r correction program: reverse co document in different period nan,managementcostaccounting,co,costaccounting&control,10,11,12,8,10,8
1305,r2r final bill status synchronization sd -> ps nan,fixedasset&projectaccounting r2r final bill status synchronization sd -> ps nan,ps fixedasset&projectaccounting r2r final bill status synchronization sd -> ps nan,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,9,10,11,4,33,30
1306,r2r citibank lockbox program for nor nan,customerinvoicing&ar(mbil) r2r citibank lockbox program for nor nan,ar customerinvoicing&ar(mbil) r2r citibank lockbox program for nor nan,customerinvoicing&ar(mbil),ar,bankmanagement,7,8,9,3,6,5
1307,r2r program zfps_sap_to_pp_project_create nan,fixedasset&projectaccounting r2r program zfps_sap_to_pp_project_create nan,ps fixedasset&projectaccounting r2r program zfps_sap_to_pp_project_create nan,fixedasset&projectaccounting,ps,capitalprojectaccounting,4,5,6,4,33,7
1308,r2r citibank lockbox issue for citi nan,customerinvoicing&ar(mbil) r2r citibank lockbox issue for citi nan,ar customerinvoicing&ar(mbil) r2r citibank lockbox issue for citi nan,customerinvoicing&ar(mbil),ar,bankmanagement,7,8,9,3,6,5
1309,r2r send payment information to heritage system nan,vendorinvoicing&ap r2r send payment information to heritage system nan,ap vendorinvoicing&ap r2r send payment information to heritage system nan,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
1310,r2r contract start/end fix for dms128 nan,customerinvoicing&ar(mbil) r2r contract start/end fix for dms128 nan,ar customerinvoicing&ar(mbil) r2r contract start/end fix for dms128 nan,customerinvoicing&ar(mbil),ar,customerinvoicing,7,8,9,3,6,10
1311,r2r travel alert 45days to manager nan,vendorinvoicing&ap r2r travel alert 45days to manager nan,fi vendorinvoicing&ap r2r travel alert 45days to manager nan,vendorinvoicing&ap,fi,travel&purchasecard,7,8,9,15,16,37
1312,r2r accounts payables capex not paid report nan,vendorinvoicing&ap r2r accounts payables capex not paid report nan,ap vendorinvoicing&ap r2r accounts payables capex not paid report nan,vendorinvoicing&ap,ap,reporting,8,9,10,15,1,33
1313,r2r xibuy : 16.3 user exit - user status update report. nan,vendorinvoicing&ap r2r xibuy : 16.3 user exit - user status update report. nan,ap vendorinvoicing&ap r2r xibuy : 16.3 user exit - user status update report. nan,vendorinvoicing&ap,ap,vendorinvoicing,12,13,14,15,1,38
1314,r2r ar notes from sap to rpms nan,customerinvoicing&ar(mbil) r2r ar notes from sap to rpms nan,ar customerinvoicing&ar(mbil) r2r ar notes from sap to rpms nan,customerinvoicing&ar(mbil),ar,reporting,8,9,10,3,6,33
1315,r2r transworks vendor master data change and create notification nan,vendorinvoicing&ap r2r transworks vendor master data change and create notification nan,ap vendorinvoicing&ap r2r transworks vendor master data change and create notification nan,vendorinvoicing&ap,ap,vendormaintenance,10,11,12,15,1,39
1316,r2r extend billing plan dates and calculate escalation nan,customerinvoicing&ar(mbil) r2r extend billing plan dates and calculate escalation nan,sd customerinvoicing&ar(mbil) r2r extend billing plan dates and calculate escalation nan,customerinvoicing&ar(mbil),sd,customerinvoicing,9,10,11,3,41,10
1317,r2r invoicing party vendor report nan,vendorinvoicing&ap r2r invoicing party vendor report nan,ap vendorinvoicing&ap r2r invoicing party vendor report nan,vendorinvoicing&ap,ap,supplierinvoicingandpayments,6,7,8,15,1,36
1318,r2r amex ipm credit card address changes nan,vendorinvoicing&ap r2r amex ipm credit card address changes nan,hcm vendorinvoicing&ap r2r amex ipm credit card address changes nan,vendorinvoicing&ap,hcm,travel&purchasecard,8,9,10,15,20,37
1319,r2r zftvi_amex_ipm_accgchgs nan,vendorinvoicing&ap r2r zftvi_amex_ipm_accgchgs nan,hcm vendorinvoicing&ap r2r zftvi_amex_ipm_accgchgs nan,vendorinvoicing&ap,hcm,travel&purchasecard,3,4,5,15,20,37
1320,r2r z_note496506 nan,generalaccountingconsolidation&reporting r2r z_note496506 nan,fi generalaccountingconsolidation&reporting r2r z_note496506 nan,generalaccountingconsolidation&reporting,fi,generalaccounting,3,4,5,6,16,14
1321,r2r maintain recurring agreement nan,customerinvoicing&ar(mbil) r2r maintain recurring agreement nan,ar customerinvoicing&ar(mbil) r2r maintain recurring agreement nan,customerinvoicing&ar(mbil),ar,customermaintenance&managecredit,5,6,7,3,6,11
1322,r2r quarterly liability revisions report nan,fixedasset&projectaccounting r2r quarterly liability revisions report nan,ps fixedasset&projectaccounting r2r quarterly liability revisions report nan,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,6,7,8,4,33,30
1323,r2r invoice customer portal (fm the customer base) nan,customerinvoicing&ar(mbil) r2r invoice customer portal (fm the customer base) nan,sd customerinvoicing&ar(mbil) r2r invoice customer portal (fm the customer base) nan,customerinvoicing&ar(mbil),sd,customerinvoicing,9,10,11,3,41,10
1324,r2r vendor generate w9 forms nan,vendorinvoicing&ap r2r vendor generate w9 forms nan,ap vendorinvoicing&ap r2r vendor generate w9 forms nan,vendorinvoicing&ap,ap,1099taxwithholding/reporting,6,7,8,15,1,0
1325,r2r change all washed or pending wash status to unapproved. nan,vendorinvoicing&ap r2r change all washed or pending wash status to unapproved. nan,ap vendorinvoicing&ap r2r change all washed or pending wash status to unapproved. nan,vendorinvoicing&ap,ap,inventoryaccounting,11,12,13,15,1,19
1326,r2r create joint facilities xref table nan,generalaccountingconsolidation&reporting r2r create joint facilities xref table nan,fi generalaccountingconsolidation&reporting r2r create joint facilities xref table nan,generalaccountingconsolidation&reporting,fi,generalaccounting,7,8,9,6,16,14
1327,r2r ap edi vendor contact report nan,vendorinvoicing&ap r2r ap edi vendor contact report nan,ap vendorinvoicing&ap r2r ap edi vendor contact report nan,vendorinvoicing&ap,ap,supplierinvoicingandpayments,7,8,9,15,1,36
1328,r2r nan nan,managementcostaccounting r2r nan nan,co managementcostaccounting r2r nan nan,managementcostaccounting,co,costaccounting&control,3,4,5,8,10,8
1329,r2r vendor texts load nan,vendorinvoicing&ap r2r vendor texts load nan,ap vendorinvoicing&ap r2r vendor texts load nan,vendorinvoicing&ap,ap,vendormaintenance,5,6,7,15,1,39
1330,r2r amex ipm credit card cancellations nan,vendorinvoicing&ap r2r amex ipm credit card cancellations nan,hcm vendorinvoicing&ap r2r amex ipm credit card cancellations nan,vendorinvoicing&ap,hcm,travel&purchasecard,7,8,9,15,20,37
1331,r2r oss note 36353: report zhw36353 nan,generalaccountingconsolidation&reporting r2r oss note 36353: report zhw36353 nan,fi generalaccountingconsolidation&reporting r2r oss note 36353: report zhw36353 nan,generalaccountingconsolidation&reporting,fi,generalaccounting,7,8,9,6,16,14
1332,r2r auto release of po invoices with qty variance - im00443589 nan,vendorinvoicing&ap r2r auto release of po invoices with qty variance - im00443589 nan,ap vendorinvoicing&ap r2r auto release of po invoices with qty variance - im00443589 nan,vendorinvoicing&ap,ap,vendorinvoicing,12,13,14,15,1,38
1333,r2r payment information report for power plant system nan,vendorinvoicing&ap r2r payment information report for power plant system nan,ap vendorinvoicing&ap r2r payment information report for power plant system nan,vendorinvoicing&ap,ap,supplierinvoicingandpayments,9,10,11,15,1,36
1334,r2r program to delete entries from custom tables nan,customerinvoicing&ar(mbil) r2r program to delete entries from custom tables nan,ar customerinvoicing&ar(mbil) r2r program to delete entries from custom tables nan,customerinvoicing&ar(mbil),ar,customerinvoicing,9,10,11,3,6,10
1335,r2r travel alert 7days nan,vendorinvoicing&ap r2r travel alert 7days nan,travel vendorinvoicing&ap r2r travel alert 7days nan,vendorinvoicing&ap,travel,travel&purchasecard,5,6,7,15,45,37
1336,r2r nan nan,vendorinvoicing&ap r2r nan nan,ap vendorinvoicing&ap r2r nan nan,vendorinvoicing&ap,ap,misc,3,4,5,15,1,23
1337,r2r citibank lockbox report for additonal two fields nan,customerinvoicing&ar(mbil) r2r citibank lockbox report for additonal two fields nan,ar customerinvoicing&ar(mbil) r2r citibank lockbox report for additonal two fields nan,customerinvoicing&ar(mbil),ar,lockboxintegration,9,10,11,3,6,21
